Year,Cities,Fish Consumption
2021,YALIMO,0.488
2021,PUNCAK,0.026
2021,DOGIYAI,0.398
2021,INTAN JAYA,1.140
2021,DEIYAI,1.380
2021,JAYAPURA,0.662
2020,SIMEULUE,0.809
2020,ACEH SINGKIL,0.999
2020,ACEH SELATAN,1.157
2020,ACEH TENGGARA,1.599
2020,ACEH TIMUR,1.042
2020,ACEH TENGAH,0.77
2020,ACEH BARAT,0.971
2020,ACEH BESAR,0.76
2020,PIDIE,0.794
2020,BIREUEN,0.893
2020,ACEH UTARA,0.953
2020,ACEH BARAT DAYA,0.935
2020,GAYO LUES,1.5
2020,ACEH TAMIANG,0.721
2020,NAGAN RAYA,0.86
2020,ACEH JAYA,1.006
2020,BENER MERIAH,0.893
2020,PIDIE JAYA,1.143
2020,BANDA ACEH,0.675
2020,SABANG,0.864
2020,LANGSA,0.843
2020,LHOKSEUMAWE,0.858
2020,SUBULUSSALAM,0.953
2020,NIAS,1.338
2020,MANDAILING NATAL,0.831
2020,TAPANULI SELATAN,0.941
2020,TAPANULI TENGAH,1.122
2020,TAPANULI UTARA,2.14
2020,TOBA SAMOSIR,1.719
2020,LABUHAN BATU,1.09
2020,ASAHAN,1.095
2020,SIMALUNGUN,1.296
2020,DAIRI,1.775
2020,KARO,1.277
2020,DELI SERDANG,0.922
2020,LANGKAT,0.77
2020,NIAS SELATAN,0.739
2020,HUMBANG HASUNDUTAN,2.37
2020,PAKPAK BHARAT,2.187
2020,SAMOSIR,2.373
2020,SERDANG BEDAGAI,0.988
2020,BATU BARA,1.108
2020,PADANG LAWAS UTARA,1.207
2020,PADANG LAWAS,0.925
2020,LABUHAN BATU SELATAN,1.256
2020,LABUHAN BATU UTARA,1.374
2020,NIAS UTARA,1.165
2020,NIAS BARAT,1.363
2020,SIBOLGA,0.871
2020,TANJUNG BALAI,1.074
2020,PEMATANG SIANTAR,1.268
2020,TEBING TINGGI,0.999
2020,MEDAN,0.929
2020,BINJAI,0.809
2020,PADANGSIDIMPUAN,0.977
2020,GUNUNGSITOLI,0.804
2020,KEPULAUAN MENTAWAI,0.794
2020,PESISIR SELATAN,0.751
2020,SOLOK,0.594
2020,SIJUNJUNG,0.671
2020,TANAH DATAR,0.841
2020,PADANG PARIAMAN,0.613
