District,Year,Consumption,Expenditure per Capita
PIDIE,2019,0.81,9824
BIREUEN,2019,0.884,8889
ACEH UTARA,2019,0.957,8189
ACEH BARAT DAYA,2019,0.918,8491
GAYO LUES,2019,1.543,8845
ACEH TAMIANG,2019,0.758,8362
NAGAN RAYA,2019,0.804,8348
ACEH JAYA,2019,1,9682
BENER MERIAH,2019,0.824,11124
PIDIE JAYA,2019,0.934,10364
BANDA ACEH,2019,0.708,16892
SABANG,2019,0.928,11444
LANGSA,2019,0.782,12099
LHOKSEUMAWE,2019,0.895,11421
SUBULUSSALAM,2019,0.862,7463
NIAS,2019,1.535,7042
MANDAILING NATAL,2019,0.918,9900
TAPANULI SELATAN,2019,0.913,11410
TAPANULI TENGAH,2019,1.162,10175
TAPANULI UTARA,2019,2.074,11791
TOBA SAMOSIR,2019,1.761,12375
LABUHAN BATU,2019,1.108,11193
ASAHAN,2019,1.227,10983
SIMALUNGUN,2019,1.301,11422
DAIRI,2019,1.998,10602
KARO,2019,1.348,12474
DELI SERDANG,2019,1.002,12317
LANGKAT,2019,0.797,11208
NIAS SELATAN,2019,1.096,7105
HUMBANG HASUNDUTAN,2019,2.432,7902
PAKPAK BHARAT,2019,2.059,8402
SAMOSIR,2019,2.233,8654
SERDANG BEDAGAI,2019,0.992,11061
BATU BARA,2019,1.019,10575
PADANG LAWAS UTARA,2019,1.251,10194
PADANG LAWAS,2019,0.89,9100
LABUHAN BATU SELATAN,2019,1.18,11553
LABUHAN BATU UTARA,2019,1.208,11957
NIAS UTARA,2019,1.425,6245
NIAS BARAT,2019,1.376,6009
SIBOLGA,2019,0.838,11656
TANJUNG BALAI,2019,1.083,11383
PEMATANG SIANTAR,2019,1.083,12571
TEBING TINGGI,2019,0.9,12895
MEDAN,2019,0.971,15033
BINJAI,2019,0.953,11260
PADANGSIDIMPUAN,2019,0.914,11181
GUNUNGSITOLI,2019,0.942,8058
KEPULAUAN MENTAWAI,2019,0.691,6429
PESISIR SELATAN,2019,0.764,9444
SOLOK,2019,0.741,10309
SIJUNJUNG,2019,0.654,10395
TANAH DATAR,2019,0.706,10709
PADANG PARIAMAN,2019,0.589,11158
AGAM,2019,0.757,9780
LIMA PULUH KOTA,2019,0.856,9842
PASAMAN,2019,0.785,8599
SOLOK SELATAN,2019,0.694,10505
DHARMASRAYA,2019,0.742,11431
PASAMAN BARAT,2019,0.699,9180
PADANG,2019,0.567,14728
SOLOK,2019,0.749,12337
SAWAH LUNTO,2019,0.569,10238
PADANG PANJANG,2019,0.58,11013
BUKITTINGGI,2019,0.658,13586
PAYAKUMBUH,2019,0.779,13464
PARIAMAN,2019,0.54,12958
KUANTAN SINGINGI,2019,0.865,10820
INDRAGIRI HULU,2019,0.867,10738
INDRAGIRI HILIR,2019,1.047,10382
PELALAWAN,2019,1.056,12149
SIAK,2019,0.986,12347
KAMPAR,2019,0.809,11232
ROKAN HULU,2019,1.007,9979
BENGKALIS,2019,0.937,11753
ROKAN HILIR,2019,1.282,9672
KEPULAUAN MERANTI,2019,1.031,8358
PEKANBARU,2019,0.835,15206
DUMAI,2019,1.001,12453
KERINCI,2019,0.8,10198
MERANGIN,2019,0.803,10312
SAROLANGUN,2019,0.678,11679
BATANG HARI,2019,0.736,10038
MUARO JAMBI,2019,0.724,8697
TANJUNG JABUNG TIMUR,2019,0.944,9192
TANJUNG JABUNG BARAT,2019,0.874,9539
TEBO,2019,0.783,10555
BUNGO,2019,0.842,11662
JAMBI,2019,0.738,12205
SUNGAI PENUH,2019,0.775,10510
OGAN KOMERING ULU,2019,0.665,10261
OGAN KOMERING ILIR,2019,0.804,11032
MUARA ENIM,2019,0.753,11285
LAHAT,2019,0.805,10071
MUSI RAWAS,2019,0.622,9795
MUSI BANYUASIN,2019,0.898,10364
BANYU ASIN,2019,0.984,10135
OGAN KOMERING ULU SELATAN,2019,0.727,8830
OGAN KOMERING ULU TIMUR,2019,0.747,11753
OGAN ILIR,2019,0.803,10777
EMPAT LAWANG,2019,0.664,9594
PENUKAL ABAB LEMATANG ILIR,2019,0.904,8400
MUSI RAWAS UTARA,2019,0.623,10223
PALEMBANG,2019,0.781,15087
PRABUMULIH,2019,0.682,13072
PAGAR ALAM,2019,0.638,9291
LUBUKLINGGAU,2019,0.671,13586
BENGKULU SELATAN,2019,0.675,9813
REJANG LEBONG,2019,0.574,10162
BENGKULU UTARA,2019,0.617,10336
KAUR,2019,0.675,8594
SELUMA,2019,0.585,8209
MUKOMUKO,2019,0.719,10381
LEBONG,2019,0.823,11177
KEPAHIANG,2019,0.667,9243
BENGKULU TENGAH,2019,0.61,9435
BENGKULU,2019,0.703,14030
LAMPUNG BARAT,2019,0.666,9970
TANGGAMUS,2019,0.597,9294
LAMPUNG SELATAN,2019,0.657,9978
LAMPUNG TIMUR,2019,0.664,10028
LAMPUNG TENGAH,2019,0.759,11154
LAMPUNG UTARA,2019,0.712,8779
WAY KANAN,2019,0.714,9292
TULANGBAWANG,2019,0.758,10797
PESAWARAN,2019,0.671,8059
PRINGSEWU,2019,0.542,10289
MESUJI,2019,0.729,8144
TULANG BAWANG BARAT,2019,0.614,8532
PESISIR BARAT,2019,0.619,8652
BANDAR LAMPUNG,2019,0.637,12255
METRO,2019,0.621,12017
BANGKA,2019,0.938,12480
BELITUNG,2019,0.959,13662
BANGKA BARAT,2019,0.91,12275
BANGKA TENGAH,2019,0.859,13070
BANGKA SELATAN,2019,0.912,11910
BELITUNG TIMUR,2019,0.995,11831
PANGKAL PINANG,2019,0.857,15883
KARIMUN,2019,0.941,12136
BINTAN,2019,0.904,14730
NATUNA,2019,1.057,14821
LINGGA,2019,1.407,12091
KEPULAUAN ANAMBAS,2019,1.07,12065
BATAM,2019,0.78,18146
TANJUNG PINANG,2019,0.895,15838
KEPULAUAN SERIBU,2019,1.041,12623
JAKARTA SELATAN,2019,0.758,23851
JAKARTA TIMUR,2019,0.749,17662
JAKARTA PUSAT,2019,0.56,17285
JAKARTA BARAT,2019,0.676,20875
JAKARTA UTARA,2019,0.798,18566
BOGOR,2019,0.93,10683
SUKABUMI,2019,1.207,8973
CIANJUR,2019,0.855,8290
BANDUNG,2019,0.712,10502
GARUT,2019,0.548,8099
TASIKMALAYA,2019,0.608,8092
CIAMIS,2019,0.588,9557
KUNINGAN,2019,0.495,9673
CIREBON,2019,0.463,10670
MAJALENGKA,2019,0.512,9822
SUMEDANG,2019,0.722,10406
INDRAMAYU,2019,0.711,10090
SUBANG,2019,0.664,11012
PURWAKARTA,2019,0.914,11819
KARAWANG,2019,0.684,11856
BEKASI,2019,0.858,11610
BANDUNG BARAT,2019,0.727,8684
PANGANDARAN,2019,0.571,9423
BOGOR,2019,0.775,11825
SUKABUMI,2019,0.902,11204
BANDUNG,2019,0.573,17254
CIREBON,2019,0.457,11930
BEKASI,2019,0.731,16157
DEPOK,2019,0.731,15696
CIMAHI,2019,0.571,12448
TASIKMALAYA,2019,0.524,10414
KOTA BANJAR,2019,0.461,10705
CILACAP,2019,0.351,10639
BANYUMAS,2019,0.503,11703
PURBALINGGA,2019,0.385,10131
BANJARNEGARA,2019,0.942,9547
KEBUMEN,2019,0.342,9066
PURWOREJO,2019,0.486,10342
WONOSOBO,2019,0.88,10871
MAGELANG,2019,0.463,9387
BOYOLALI,2019,0.585,13079
KLATEN,2019,0.418,12074
SUKOHARJO,2019,0.498,11557
WONOGIRI,2019,0.56,9426
KARANGANYAR,2019,0.503,11569
SRAGEN,2019,0.647,12720
GROBOGAN,2019,0.594,10350
BLORA,2019,0.721,9795
REMBANG,2019,1.058,10551
PATI,2019,0.858,10660
