District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
CILACAP,0.372,Rendah,36.21,10440,4655,2.32
BANYUMAS,0.521,Rendah,36.21,11448,4300,1.95
PURBALINGGA,0.347,Rendah,36.21,9914,2367,1.24
BANJARNEGARA,1.089,Sedang,36.21,9263,5186,2.91
KEBUMEN,0.404,Rendah,36.21,8901,3942,2.30
PURWOREJO,0.492,Rendah,36.21,10163,4098,2.10
WONOSOBO,0.725,Rendah,36.21,10621,3430,1.68
MAGELANG,0.521,Rendah,36.21,9301,3715,2.08
BOYOLALI,0.551,Rendah,36.21,12910,3346,1.35
KLATEN,0.421,Rendah,36.21,11921,3618,1.58
SUKOHARJO,0.472,Rendah,36.21,11325,3941,1.81
WONOGIRI,0.446,Rendah,36.21,9286,3588,2.01
KARANGANYAR,0.659,Rendah,36.21,11428,4989,2.27
SRAGEN,0.913,Sedang,36.21,12589,4878,2.01
GROBOGAN,0.521,Rendah,36.21,10221,4308,2.19
BLORA,0.802,Sedang,36.21,9571,3735,2.03
REMBANG,1.079,Sedang,36.21,10328,7174,3.61
PATI,0.962,Sedang,36.21,10390,10888,5.45
KUDUS,0.492,Rendah,36.21,11160,7782,3.63
JEPARA,0.598,Rendah,36.21,10343,7546,3.79
DEMAK,0.776,Rendah,36.21,10128,9285,4.77
SEMARANG,0.46,Rendah,36.21,11966,5150,2.24
TEMANGGUNG,0.777,Rendah,36.21,9343,3242,1.80
KENDAL,0.643,Rendah,36.21,11425,6312,2.87
BATANG,1.191,Sedang,36.21,9431,7267,4.01
PEKALONGAN,0.788,Rendah,36.21,10312,5812,2.93
PEMALANG,0.712,Rendah,36.21,8461,5180,3.18
TEGAL,0.538,Rendah,36.21,9612,4644,2.51
BREBES,0.371,Rendah,36.21,10058,3997,2.07
MAGELANG,0.397,Rendah,36.21,12210,5037,2.15
SURAKARTA,0.337,Rendah,36.21,14761,4036,1.42
SALATIGA,0.685,Rendah,36.21,15699,6280,2.08
SEMARANG,0.684,Rendah,36.21,15243,10285,3.51
PEKALONGAN,0.412,Rendah,36.21,12467,5945,2.48
TEGAL,0.467,Rendah,36.21,12999,6547,2.62
KULON PROGO,0.344,Rendah,34.26,10041,3726,1.93
BANTUL,0.392,Rendah,34.26,15517,4100,1.37
GUNUNG KIDUL,0.57,Rendah,34.26,9486,5128,2.81
SLEMAN,0.638,Rendah,34.26,15926,7302,2.38
YOGYAKARTA,0.424,Rendah,34.26,18678,5601,1.56
PACITAN,0.334,Rendah,42,8796,3995,2.36
PONOROGO,0.363,Rendah,42,9670,4002,2.15
TRENGGALEK,0.744,Rendah,42,9630,6330,3.42
TULUNGAGUNG,0.637,Rendah,42,10705,6112,2.97
BLITAR,0.554,Rendah,42,10654,3365,1.64
KEDIRI,0.464,Rendah,42,11000,3572,1.69
MALANG,0.599,Rendah,42,10028,4518,2.34
LUMAJANG,0.827,Sedang,42,9088,7703,4.41
JEMBER,0.907,Sedang,42,9294,6737,3.77
BANYUWANGI,0.582,Rendah,42,12140,6785,2.91
BONDOWOSO,1.264,Sedang,42,10610,5355,2.62
SITUBONDO,0.492,Rendah,42,9857,6318,3.33
PROBOLINGGO,0.573,Rendah,42,10859,7715,3.69
PASURUAN,0.784,Rendah,42,10164,7378,3.77
SIDOARJO,0.572,Rendah,42,14458,11558,4.16
MOJOKERTO,0.583,Rendah,42,12779,7854,3.20
JOMBANG,0.666,Rendah,42,11261,5855,2.70
NGANJUK,0.467,Rendah,42,12130,4089,1.75
MADIUN,0.515,Rendah,42,11574,3735,1.68
MAGETAN,0.407,Rendah,42,11776,3798,1.68
NGAWI,0.64,Rendah,42,11418,4442,2.02
BOJONEGORO,0.8,Sedang,42,10121,5553,2.85
TUBAN,1.433,Sedang,42,10238,7568,3.84
LAMONGAN,0.913,Sedang,42,11456,11050,5.02
GRESIK,0.665,Rendah,42,13246,9845,3.86
BANGKALAN,1.067,Sedang,42,8610,10659,6.44
SAMPANG,1.359,Sedang,42,8739,11584,6.89
PAMEKASAN,0.961,Sedang,42,8739,9380,5.58
SUMENEP,1.44,Sedang,42,8888,11524,6.74
KEDIRI,0.388,Rendah,42,12239,4048,1.72
BLITAR,0.575,Rendah,42,13733,4954,1.88
MALANG,0.524,Rendah,42,16593,7607,2.38
PROBOLINGGO,0.682,Rendah,42,12180,9270,3.96
PASURUAN,0.741,Rendah,42,13281,10252,4.01
MOJOKERTO,0.51,Rendah,42,13499,9093,3.50
MADIUN,0.489,Rendah,42,16018,5849,1.90
SURABAYA,0.687,Rendah,42,17755,12157,3.56
BATU,0.81,Sedang,42,12824,6253,2.54
PANDEGLANG,0.664,Rendah,41.29,8572,7717,4.68
LEBAK,0.993,Sedang,41.29,8690,8631,5.16
TANGERANG,0.84,Sedang,41.29,12203,12620,5.38
SERANG,0.675,Rendah,41.29,10665,9143,4.46
TANGERANG,0.718,Rendah,41.29,14484,17704,6.36
CILEGON,0.58,Rendah,41.29,13010,16130,6.45
SERANG,0.647,Rendah,41.29,13212,11465,4.51
TANGERANG SELATAN,0.726,Rendah,41.29,15667,15583,5.17
JEMBRANA,0.792,Sedang,44.74,11790,9023,3.98
TABANAN,0.807,Sedang,44.74,14494,5829,2.09
BADUNG,0.686,Rendah,44.74,17503,9837,2.92
GIANYAR,0.927,Sedang,44.74,14544,5573,1.99
KLUNGKUNG,0.705,Rendah,44.74,11376,6981,3.19
BANGLI,0.843,Sedang,44.74,11268,5516,2.55
KARANGASEM,1.36,Sedang,44.74,10237,4557,2.31
BULELENG,0.733,Rendah,44.74,13463,7608,2.94
DENPASAR,0.503,Rendah,44.74,19723,11044,2.91
LOMBOK BARAT,0.692,Rendah,50.21,11304,9009,4.14
LOMBOK TENGAH,1.044,Sedang,50.21,9952,8106,4.24
LOMBOK TIMUR,0.73,Rendah,50.21,9409,9310,5.15
SUMBAWA,0.828,Sedang,50.21,9146,14300,8.13
DOMPU,0.854,Sedang,50.21,8889,12213,7.14
KAB.BIMA,0.885,Sedang,50.21,8468,13181,8.09
SUMBAWA BARAT,0.914,Sedang,50.21,11536,23135,10.43
LOMBOK UTARA,0.787,Rendah,50.21,9006,9928,5.73
MATARAM,0.703,Rendah,50.21,14968,13754,4.78
KOTA BIMA,0.797,Sedang,50.21,11105,17916,8.39
SUMBA BARAT,0.393,Rendah,46.65,7321,6604,4.69
SUMBA TIMUR,0.465,Rendah,46.65,9406,8954,4.95
KUPANG,0.342,Rendah,46.65,7526,6392,4.42
TIMOR TENGAH SELATAN,0.331,Rendah,46.65,6861,4377,3.32
TIMOR TENGAH UTARA,0.379,Rendah,46.65,6364,5326,4.35
BELU,0.564,Rendah,46.65,7479,7443,5.17
ALOR,0.735,Rendah,46.65,6786,10577,8.10
LEMBATA,0.75,Rendah,46.65,7305,9730,6.93
FLORES TIMUR,0.879,Sedang,46.65,7631,10641,7.25
SIKKA,0.56,Rendah,46.65,8081,10633,6.84
ENDE,0.747,Rendah,46.65,9094,10171,5.82
NGADA,0.81,Sedang,46.65,8865,11395,6.68
MANGGARAI,0.497,Rendah,46.65,7203,8304,5.99
ROTE NDAO,0.467,Rendah,46.65,6539,11315,9.00
MANGGARAI BARAT,0.634,Rendah,46.65,7468,10747,7.48
SUMBA TENGAH,0.341,Rendah,46.65,6108,4950,4.21
SUMBA BARAT DAYA,0.377,Rendah,46.65,6372,5361,4.37
NAGEKEO,0.638,Rendah,46.65,8309,10070,6.30
MANGGARAI TIMUR,0.411,Rendah,46.65,5818,5127,4.58
SABU RAIJUA,0.437,Rendah,46.65,5265,12694,12.54
MALAKA,0.596,Rendah,46.65,5901,6358,5.60
KUPANG,0.581,Rendah,46.65,13337,13954,5.44
SAMBAS,0.917,Sedang,46.76,9858,18031,9.51
BENGKAYANG,0.792,Sedang,46.76,9102,13465,7.69
LANDAK,0.682,Rendah,46.76,7357,12228,8.64
MEMPAWAH,0.852,Sedang,46.76,7801,16030,10.69
SANGGAU,0.756,Rendah,46.76,8245,14188,8.95
KETAPANG,0.841,Sedang,46.76,9163,19663,11.16
SINTANG,0.736,Rendah,46.76,8728,17547,10.45
KAPUAS HULU,0.702,Rendah,46.76,7162,13317,9.67
SEKADAU,0.838,Sedang,46.76,7434,15319,10.72
MELAWI,0.641,Rendah,46.76,8332,14008,8.74
KAYONG UTARA,0.942,Sedang,46.76,7842,17729,11.76
KUBU RAYA,0.801,Sedang,46.76,8709,13891,8.29
PONTIANAK,0.817,Sedang,46.76,14465,19386,6.97
SINGKAWANG,0.898,Sedang,46.76,11650,19071,8.51
KOTAWARINGIN BARAT,0.791,Sedang,55.5,13109,16900,6.70
KOTAWARINGIN TIMUR,0.823,Sedang,55.5,11854,15529,6.81
KAPUAS,1.019,Sedang,55.5,11015,14904,7.04
BARITO SELATAN,1.137,Sedang,55.5,11486,17234,7.80
BARITO UTARA,0.915,Sedang,55.5,9936,16073,8.41
SUKAMARA,0.998,Sedang,55.5,8674,21820,13.08
LAMANDAU,0.841,Sedang,55.5,11190,23620,10.98
SERUYAN,0.85,Sedang,55.5,9370,18433,10.23
KATINGAN,1.073,Sedang,55.5,10548,20787,10.25
PULANG PISAU,1.05,Sedang,55.5,10047,15648,8.10
GUNUNG MAS,0.966,Sedang,55.5,10793,21158,10.19
BARITO TIMUR,1.039,Sedang,55.5,11319,18057,8.30
MURUNG RAYA,0.57,Rendah,55.5,10419,13872,6.92
PALANGKA RAYA,0.783,Rendah,55.5,14055,20371,7.54
TANAH LAUT,0.841,Sedang,61.23,11207,15471,7.18
KOTA BARU,1.003,Sedang,61.23,11530,18349,8.28
BANJAR,0.737,Rendah,61.23,12603,13818,5.70
BARITO KUALA,1.039,Sedang,61.23,9805,15011,7.96
TAPIN,1.018,Sedang,61.23,11841,19691,8.65
HULU SUNGAI SELATAN,0.903,Sedang,61.23,12672,14969,6.14
HULU SUNGAI TENGAH,0.846,Sedang,61.23,12153,14502,6.21
HULU SUNGAI UTARA,0.819,Sedang,61.23,9527,12239,6.68
